country;Region;inflation;lCO2;lGDPc;GDP.growth;internet;lagv
Afghanistan;AS;10,20166014;-0,855049583;6,433550283;6,113685169;5;3,238970191
Albania;EU;3,450347153;0,474392553;8,397916741;2,550000005;49;3,089137192
Algeria;AF;4,521764663;1,198770664;8,602894439;2,9;14;2,26335541
Antigua and Barbuda;AM;3,456749672;1,761953715;9,458593352;-1,793435604;52;1,185443178
Argentina;AM;9,465686275;1,517771758;9,502481257;8,386451456;51;2,139179242
Armenia;AS;7,651233638;0,513815304;8,136568539;4,699999999;32;3,170333084
Australia;OC;3,303850156;2,804523941;11,03837627;2,379561336;79,48769771;1,243118552
Austria;EU;3,266938912;2,050268031;10,84200075;2,807999932;78,7399931;0,959706939
Azerbaijan;AS;7,850450579;1,294008868;8,880403505;0,065922768;50;1,855274606
Bahamas, The;AM;3,198781417;1,648628629;9,976500935;0,612902596;65;1,205094589
Bahrain;AS;-0,36444775;2,887441347;10,00958983;2,100184109;76,9999665;0,253223982
Bangladesh;AS;10,7048046;-0,988815281;6,731671588;6,46438388;4,5;2,929227407
Barbados;AM;9,432202402;1,719220607;9,650586499;0,72859745;67;0,842302779
Belarus;EU;53,22869831;1,899493725;8,749220947;5,543711461;39,64889566;2,345351471
Belgium;EU;3,532082107;2,180349468;10,77268263;1,796837889;81,609996;0,54156452
Belize;AM;-3,648143303;0,513364978;8,415433525;2,102218515;30,7;2,648586441
Benin;AF;2,71280052;-0,673418623;6,683405449;2,962750351;4,148323066;3,282352745
Bhutan;AS;8,848985699;-0,266304713;7,81834461;7,890913893;21;2,896769149
Bolivia;AM;9,812689841;0,46969048;7,773889203;5,204092718;30;2,603754914
Botswana;AF;8,458165875;0,84300796;8,923304878;6,048316367;8;1,31276288
Brazil;AM;6,636198657;0,784537672;9,475709475;3,910255348;45,69;1,810136474
Brunei Darussalam;AS;2,015934385;3,194255758;10,64034108;3,429818477;56;0,487479122
Bulgaria;EU;4,219903466;1,904251869;8,955453268;1,583973961;47,97999305;1,840436679
Burkina Faso;AF;2,759767249;-2,120425551;6,50100051;6,521769448;3;3,550917478
Burundi;AF;9,735019199;-3,846707002;5,483195999;4,191625681;1,11;3,722009074
Cabo Verde;AF;4,473883422;-0,151914843;8,233798357;3,968783812;32;2,179646098
Cambodia;AS;5,478587304;-1,177418019;6,778956947;7,069569946;3,1;3,629231545
Cameroon;AF;2,939699463;-1,316425846;7,138013184;4,140591847;5;3,201577118
Canada;AM;2,912135089;2,648711533;10,86060974;3,141219001;83;0,998361991
Central African Republic;AF;1,300569969;-2,762593821;6,191047396;3,300739707;2,2;4,023064507
Chad;AF;-3,704295704;-3,127427083;6,896131139;0,082869798;1,9;3,991001024
Chile;AM;3,340318008;1,529625011;9,587554864;5,839640583;52,24960729;1,522417823
China;AS;5,410850058;1,903643956;8,625901773;9,484506202;38,3;2,354548617
Colombia;AM;3,411616121;0,445089008;8,885685945;6,589511516;40,35091575;2,060367934
